"state","year","score","median_income","total_pop","poverty_rate","internet_rate","post2020"
"ALASKA",2013,209.347288173954,70760,704041,0.0987357270386242,NA,0
"ALABAMA",2013,218.57595339188,43253,4682976,0.185914042694218,NA,0
"ARKANSAS",2013,218.523885266815,40768,2849641,0.192069106248822,NA,0
"ARIZONA",2013,213.134131480866,49774,6333791,0.178708296500469,NA,0
"CALIFORNIA",2013,212.545967893063,61094,36913404,0.159438479312284,NA,0
"COLORADO",2013,226.663219629357,58433,5002589,0.132106395308509,NA,0
"CONNECTICUT",2013,229.58159936534,69461,3473255,0.102021878612426,NA,0
"DISTRICT OF COLUMBIA",2013,205.613936927868,65830,585525,0.186499295504035,NA,0
"DELAWARE",2013,225.77165116252,59878,883004,0.117364134250807,NA,0
"FLORIDA",2013,227.46317661052,46956,18681565,0.163412808295236,NA,0
"GEORGIA",2013,221.836712514568,49179,9542869,0.181987199027881,NA,0
"HAWAII",2013,214.843879930676,67402,1340061,0.111585218881827,NA,0
"IOWA",2013,223.815804634611,51843,2963129,0.123995276614687,NA,0
"IDAHO",2013,219.302985951792,46767,1552767,0.154754705631946,NA,0
"ILLINOIS",2013,218.540183872207,56797,12547066,0.141254776216209,NA,0
"INDIANA",2013,225.332340846939,48248,6317159,0.153531199705437,NA,0
"KANSAS",2013,223.386368779104,51332,2784505,0.137482245497853,NA,0
"KENTUCKY",2013,224.427540486587,43036,4230912,0.188186849549222,NA,0
"LOUISIANA",2013,210.454963224321,44874,4438263,0.19079085669326,NA,0
"MASSACHUSETTS",2013,232.373155972773,66866,6375042,0.113779799411518,NA,0
"MARYLAND",2013,232.055973147422,73538,5693236,0.0980688311533195,NA,0
"MAINE",2013,224.833289019918,48453,1293306,0.135794622463671,NA,0
"MICHIGAN",2013,217.36516772932,48411,9665127,0.16823182975247,NA,0
"MINNESOTA",2013,227.030741772012,59836,5223936,0.114547919423209,NA,0
"MISSOURI",2013,222.334185909416,47380,5826484,0.154626529481588,NA,0
"MISSISSIPPI",2013,208.518536453726,39031,2880870,0.226779063269082,NA,0
"MONTANA",2013,222.982749322942,46230,974000,0.152492813141684,NA,0
"NORTH CAROLINA",2013,222.227715159886,46334,9396989,0.174884635919016,NA,0
"NORTH DAKOTA",2013,224.083385001522,53741,665576,0.119344748007741,NA,0
"NEBRASKA",2013,223.252785111637,51672,1787452,0.127997283283691,NA,0
"NEW HAMPSHIRE",2013,231.998366395397,64916,1278502,0.0867100716307053,NA,0
"NEW JERSEY",2013,228.719744067642,71629,8657485,0.104023628109087,NA,0
"NEW MEXICO",2013,205.756405354204,44927,2028611,0.203982429356836,NA,0
"NEVADA",2013,213.755313618138,52800,2690659,0.149894133741957,NA,0
"NEW YORK",2013,223.81336257734,58003,18975362,0.153039609995319,NA,0
"OHIO",2013,223.887746136742,48308,11230706,0.157946704330075,NA,0
"OKLAHOMA",2013,216.988876495215,45339,3671393,0.168514512066673,NA,0
"OREGON",2013,219.132674237737,50229,3793058,0.162079778374072,NA,0
"PENNSYLVANIA",2013,226.402323612221,52548,12318805,0.133034007762928,NA,0
"RHODE ISLAND",2013,222.802239753732,56361,1010872,0.135767931053585,NA,0
"SOUTH CAROLINA",2013,213.64654387011,44779,4537414,0.180787558728386,NA,0
"SOUTH DAKOTA",2013,217.930744868492,49495,796095,0.14079475439489,NA,0
"TENNESSEE",2013,219.735394665222,44298,6242898,0.176477655089031,NA,0
"TEXAS",2013,216.909597076471,51900,25032531,0.176443564576031,NA,0
"UTAH",2013,222.767635531589,58821,2766509,0.126587334434842,NA,0
"VIRGINIA",2013,228.555737669337,63907,7854136,0.113009884218964,NA,0
"VERMONT",2013,227.986519076527,54267,601245,0.1178770717428,NA,0
"WASHINGTON",2013,225.048863335833,59478,6686172,0.133590790066424,NA,0
"WISCONSIN",2013,220.818103448031,52413,5554566,0.13029460807559,NA,0
"WEST VIRGINIA",2013,214.663401291545,41043,1800278,0.178609081486304,NA,0
"WYOMING",2013,225.848974956602,57406,556239,0.114596423479835,NA,0
"ALASKA",2015,212.792600219066,72515,716218,0.101864236866429,NA,0
"ALABAMA",2015,217.049089788052,43623,4711439,0.188320383644997,NA,0
"ARKANSAS",2015,218.077496215637,41371,2872497,0.192739626882117,NA,0
"ARIZONA",2015,215.311336461445,50255,6488917,0.181954862421572,NA,0
"CALIFORNIA",2015,212.677948539849,61818,37678735,0.162827706397256,NA,0
"COLORADO",2015,224.023224923274,60629,5161722,0.126695897221896,NA,0
"CONNECTICUT",2015,228.947543364196,70331,3483303,0.105173451749676,NA,0
"DISTRICT OF COLUMBIA",2015,212.305347670353,70848,613291,0.179955355614219,NA,0
"DELAWARE",2015,223.698696847081,60509,900820,0.120240447592194,NA,0
"FLORIDA",2015,227.188968975009,47507,19228208,0.16538769499477,NA,0
"GEORGIA",2015,222.013497271819,49620,9737146,0.183723957718206,NA,0
"HAWAII",2015,215.124313046421,69515,1369085,0.112442981991622,NA,0
"IOWA",2015,223.62939884096,53183,2992774,0.124928577968133,NA,0
"IDAHO",2015,221.690066165659,47583,1584410,0.154743406062825,NA,0
"ILLINOIS",2015,222.022267695473,57574,12571110,0.143274380703056,NA,0
"INDIANA",2015,227.278891330949,49255,6367947,0.153588432818301,NA,0
"KANSAS",2015,221.089880424307,52205,2810222,0.13570209043983,NA,0
"KENTUCKY",2015,228.055168332762,43740,4263217,0.189021811463034,NA,0
"LOUISIANA",2015,216.199337216284,45047,4494987,0.197615699444737,NA,0
"MASSACHUSETTS",2015,235.27542341879,68563,6471313,0.11572690117137,NA,0
"MARYLAND",2015,222.944189619399,74551,5789228,0.0996341826578604,NA,0
"MAINE",2015,223.728607946102,49331,1293513,0.139370845132596,NA,0
"MICHIGAN",2015,216.306630194926,49576,9678203,0.167063038458689,NA,0
"MINNESOTA",2015,223.352919981062,61492,5295613,0.11267099767298,NA,0
"MISSOURI",2015,222.72551679114,48173,5863113,0.156226223168477,NA,0
"MISSISSIPPI",2015,214.110686915211,39665,2890915,0.225376740582134,NA,0
"MONTANA",2015,224.757393529067,47169,989932,0.152117519183136,NA,0
"NORTH CAROLINA",2015,225.810590900179,46868,9592619,0.173827919153257,NA,0
"NORTH DAKOTA",2015,224.69198435116,57181,696195,0.114562730269537,NA,0
"NEBRASKA",2015,226.634610885937,52997,1815585,0.127295059168257,NA,0
"NEW HAMPSHIRE",2015,231.949847648112,66779,1283292,0.0887093506388258,NA,0
"NEW JERSEY",2015,229.487674441138,72093,8728868,0.108243932661142,NA,0
"NEW MEXICO",2015,207.240446376377,44963,2043677,0.210092397184095,NA,0
"NEVADA",2015,214.425584466776,51847,2759180,0.154515834414572,NA,0
"NEW YORK",2015,222.646303197703,59269,19164034,0.156853353526716,NA,0
"OHIO",2015,224.930419714072,49429,11258461,0.157733459306738,NA,0
"OKLAHOMA",2015,221.830510126344,46879,3734458,0.167104034909484,NA,0
"OREGON",2015,220.222719958397,51243,3862756,0.164894443242079,NA,0
"PENNSYLVANIA",2015,226.670774068,53599,12365782,0.134772633061136,NA,0
"RHODE ISLAND",2015,225.485536668854,56852,1013455,0.142308242595873,NA,0
"SOUTH CAROLINA",2015,217.969676534277,45483,4636314,0.179215859840382,NA,0
"SOUTH DAKOTA",2015,220.469524583778,50957,814079,0.141149691860372,NA,0
"TENNESSEE",2015,218.613264393701,45219,6339352,0.176294674913146,NA,0
"TEXAS",2015,217.942913018264,53207,25923852,0.17252262510988,NA,0
"UTAH",2015,226.143074882684,60727,2855909,0.123113516572132,NA,0
"VIRGINIA",2015,228.971255010227,65015,8008050,0.115111918631877,NA,0
"VERMONT",2015,230.098616569303,55176,601732,0.115056204423232,NA,0
"WASHINGTON",2015,225.892889059031,61062,6850693,0.132616072563754,NA,0
"WISCONSIN",2015,223.356355512935,53357,5589889,0.129581821749949,NA,0
"WEST VIRGINIA",2015,216.253287883864,41751,1797793,0.179878328595116,NA,0
"WYOMING",2015,228.160802772906,58840,565647,0.114903818105638,NA,0
"ALASKA",2017,207.037630115797,76114,719983,0.101919073089226,0.834273133335445,0
"ALABAMA",2017,216.419813531011,46472,4729116,0.179673960207362,0.708513783900964,0
